Change Physical Footprint: Designator=B1 Old Footprint=Holder-CR2032-103 New Footprint=Holder-CR2032-103
Change Physical Footprint: Designator=J1 Old Footprint=MOLEX-679100002 New Footprint=MOLEX-679100002
Change Physical Footprint: Designator=J2 Old Footprint=MOLEX-786463001 New Footprint=MOLEX-786463001
Change Physical Footprint: Designator=J3 Old Footprint=MOLEX-473460001 New Footprint=MOLEX-473460001
Change Physical Footprint: Designator=J4 Old Footprint=TE-640455-8 New Footprint=TE-640455-8
Change Physical Footprint: Designator=J5 Old Footprint=PIN3 New Footprint=PIN3
Change Physical Footprint: Designator=J6 Old Footprint=TE-5103308-5 New Footprint=TE-5103308-5
Change Physical Footprint: Designator=J7 Old Footprint=PIN3 New Footprint=PIN3
Change Physical Footprint: Designator=J8 Old Footprint=TE-2201778-1 New Footprint=TE-2201778-1
Change Physical Footprint: Designator=J9 Old Footprint=TE-640455-4 New Footprint=TE-640455-4
Change Physical Footprint: Designator=J10 Old Footprint=TE-640455-3 New Footprint=TE-640455-3
Change Physical Footprint: Designator=K1 Old Footprint=SMD6 New Footprint=SMD6
Change Physical Footprint: Designator=PTC1 Old Footprint=LITTLELFUSE-72R020X New Footprint=LITTLELFUSE-72R020X
Change Physical Footprint: Designator=PTC2 Old Footprint=LITTLELFUSE-72R020X New Footprint=LITTLELFUSE-72R020X
Change Physical Footprint: Designator=PTC3 Old Footprint=LITTLELFUSE-72R020X New Footprint=LITTLELFUSE-72R020X
Change Physical Footprint: Designator=Q1 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=Q2 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=Q3 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=Q4 Old Footprint=TSSOP6 New Footprint=TSSOP6
Change Physical Footprint: Designator=R1 Old Footprint=CADDOCK - HVD5-B20M-050-05 New Footprint=CADDOCK - HVD5-B20M-050-05
Change Physical Footprint: Designator=R2 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R3 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R4 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R5 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R6 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R7 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R8 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R9 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R10 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R11 Old Footprint=CADDOCK - HVD5-B20M-050-05 New Footprint=CADDOCK - HVD5-B20M-050-05
Change Physical Footprint: Designator=R12 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R13 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R14 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R15 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R16 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R17 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R18 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R19 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R20 Old Footprint=RES-2512 WIDE New Footprint=RES-2512 WIDE
Change Physical Footprint: Designator=R21 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R22 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R23 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R24 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R25 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R26 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=R27 Old Footprint=RES-0603 New Footprint=RES-0603
Change Physical Footprint: Designator=S1 Old Footprint=KSC_J New Footprint=KSC_J
Change Physical Footprint: Designator=S2 Old Footprint=KSC_J New Footprint=KSC_J
Change Physical Footprint: Designator=U1 Old Footprint=MSOP8 New Footprint=MSOP8
Change Physical Footprint: Designator=U2 Old Footprint=MSOP10 New Footprint=MSOP10
Change Physical Footprint: Designator=U3 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U4 Old Footprint=TSSOP20 New Footprint=TSSOP20
Change Physical Footprint: Designator=U5 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U6 Old Footprint=RECOM-R1D New Footprint=RECOM-R1D
Change Physical Footprint: Designator=U7 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U8 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U9 Old Footprint=MSOP8 New Footprint=MSOP8
Change Physical Footprint: Designator=U10 Old Footprint=MSOP10 New Footprint=MSOP10
Change Physical Footprint: Designator=U11 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U12 Old Footprint=TSSOP20 New Footprint=TSSOP20
Change Physical Footprint: Designator=U13 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U14 Old Footprint=RECOM-R1D New Footprint=RECOM-R1D
Change Physical Footprint: Designator=U15 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U16 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U17 Old Footprint=MSOP8 New Footprint=MSOP8
Change Physical Footprint: Designator=U18 Old Footprint=MSOP10 New Footprint=MSOP10
Change Physical Footprint: Designator=U19 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U20 Old Footprint=TSSOP20 New Footprint=TSSOP20
Change Physical Footprint: Designator=U21 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U22 Old Footprint=RECOM-R1D New Footprint=RECOM-R1D
Change Physical Footprint: Designator=U23 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U24 Old Footprint=SSOP16 New Footprint=SSOP16
Change Physical Footprint: Designator=U25 Old Footprint=SOT23-5 New Footprint=SOT23-5
Change Physical Footprint: Designator=U26 Old Footprint=LQFP144 New Footprint=LQFP144
Change Physical Footprint: Designator=Y1 Old Footprint=XTAL-ABS07 New Footprint=XTAL-ABS07
Change Physical Footprint: Designator=Y2 Old Footprint=XTAL-ABM7 New Footprint=XTAL-ABM7
